OrderID,OrderDate,ShipDate,CustomerID,Segment,Country,City,State,ProductCategory,SubCategory,ProductName,Sales,Quantity,Discount,Profit,ShippingCost,PaymentMethod
100000,2022-03-26,2023-06-06,2191,Undefined,Spain,Madrid,Undefined,Furniture,Chairs,Office Chair,1575,16,50,0,0,Bank Transfer
100001,2023-12-21,2023-12-21,2865,Home Office,Canada,Unknown,ON,Electronics,Phones,Unknown,3705,9,5,0,0,PayPal
100002,2022-04-21,2022-11-03,2672,Home Office,USA,Unknown,NY,Furniture,Chairs,Office Chair,2499,18,10,-500,500,Bank Transfer
100003,2022-04-15,2023-09-26,2805,Undefined,USA,New York,NY,Electronics,Phones,iPhone 14,1371,10,10,-500,0,Cash
100004,2023-10-07,2023-10-07,2212,Consumer,Germany,Berlin,Undefined,Electronics,Phones,iPhone 14,3360,3,0,500,0,PayPal
100005,2023-03-15,2023-08-18,2233,Undefined,Spain,Madrid,Undefined,Furniture,Chairs,Office Chair,3300,11,0,100,10,Undefined
100006,2022-06-28,2023-01-07,2664,Corporate,Germany,Berlin,Undefined,Home Decor,Lamps,Desk Lamp,3794,4,10,0,100,Bank Transfer
100007,2023-01-02,2023-01-02,2003,Undefined,Canada,Unknown,BC,Furniture,Tables,Gaming Table,2009,19,0,0,100,Undefined
100008,2022-09-17,2023-08-09,2670,Home Office,Canada,Toronto,ON,Furniture,Tables,Gaming Table,1678,2,10,0,10,Crypto
100009,2023-11-12,2023-12-20,2921,Small Business,Germany,Berlin,Undefined,Furniture,Chairs,Office Chair,2254,18,10,-500,0,Cash
100010,2023-08-01,2023-08-01,2679,Undefined,USA,Unknown,FL,Furniture,Tables,Gaming Table,1163,4,0,0,10,Bank Transfer
100016,2022-11-01,2023-01-12,2611,Undefined,Canada,Unknown,BC,Furniture,Tables,Gaming Table,2813,17,10,-500,100,Undefined
100018,2023-03-20,2023-10-29,2552,Consumer,France,Paris,Undefined,Furniture,Tables,Gaming Table,4477,19,10,-500,5,Credit Card
100019,2023-09-11,2023-09-11,2855,Small Business,Canada,Toronto,ON,Furniture,Chairs,Unknown,1957,2,10,500,100,PayPal
100021,2023-11-17,2023-11-17,2423,Undefined,Unknown,Unknown,Undefined,Office Supplies,Unknown,Unknown,1159,5,0,0,500,Cash
100022,2023-05-20,2023-06-25,2671,Small Business,Canada,Toronto,ON,Office Supplies,Binders,Binder Set,851,16,0,1000,10,Credit Card
100024,2023-04-14,2023-04-14,2510,Home Office,Germany,Berlin,Undefined,Furniture,Chairs,Office Chair,3835,3,5,-500,10,PayPal
100025,2022-04-17,2022-10-13,2118,Consumer,USA,Unknown,FL,Electronics,Phones,Unknown,4035,10,5,-100,0,Crypto
100026,2023-08-02,2023-08-02,2573,Undefined,Canada,Toronto,ON,Office Supplies,Binders,Binder Set,-43,-5,25,500,0,Cash
100027,2023-08-13,2023-09-08,2126,Small Business,USA,New York,NY,Electronics,Unknown,Unknown,2505,20,5,1000,0,Bank Transfer
100029,2023-08-27,2023-08-27,2207,Consumer,Germany,Berlin,Undefined,Furniture,Tables,Gaming Table,846,10,5,0,100,Crypto
100031,2022-07-30,2022-11-20,2976,Undefined,USA,New York,NY,Home Decor,Lamps,Unknown,4221,0,10,0,0,PayPal
100033,2023-03-05,2023-03-05,2642,Corporate,Canada,Toronto,ON,Furniture,Unknown,Unknown,2352,10,5,0,500,PayPal
100034,2022-09-21,2023-10-11,2965,Corporate,Canada,Unknown,ON,Electronics,Phones,Unknown,2857,9,50,100,5,Undefined
100035,2022-08-08,2023-03-27,2473,Corporate,Canada,Toronto,ON,Furniture,Chairs,Office Chair,4233,3,25,100,5,Crypto
100036,2022-08-11,2022-08-11,2201,Small Business,Canada,Unknown,BC,Home Decor,Lamps,Desk Lamp,2869,9,10,1000,0,Credit Card
100037,2022-09-01,2022-12-16,2121,Small Business,Spain,Madrid,Undefined,Furniture,Tables,Gaming Table,2369,13,0,1000,0,Cash
100038,2023-05-21,2023-11-20,2259,Corporate,Germany,Berlin,Undefined,Furniture,Tables,Gaming Table,2046,11,10,0,0,Credit Card
100039,2022-08-01,2023-04-03,2058,Home Office,Canada,Unknown,BC,Furniture,Tables,Gaming Table,3316,10,10,0,100,Bank Transfer
100040,2023-07-17,2023-07-17,2804,Small Business,Canada,Unknown,ON,Electronics,Phones,iPhone 14,56,20,10,-100,100,Credit Card
100041,2023-02-02,2023-04-28,2349,Undefined,France,Paris,Undefined,Home Decor,Lamps,Desk Lamp,3932,4,0,500,500,Crypto
100042,2022-02-14,2022-02-14,2757,Consumer,Germany,Berlin,Undefined,Furniture,Tables,Gaming Table,831,20,50,0,0,Crypto
100043,2023-04-29,2023-07-03,2188,Consumer,Unknown,Unknown,Undefined,Office Supplies,Binders,Binder Set,998,20,50,0,10,Cash
